Keyword,Conservative,Analytical,Cautious,Adventurous,Impulsive,Convenient
Risk-free,0.9,0.7,0.9,0.2,0.1,0.8
Disciplined,0.8,0.9,0.8,0,0,0.2
Stability,0.9,0.6,0.8,0.1,0.1,0.2
Reliable,0.8,0.7,0.7,0.2,0.2,0.3
Predictable,0.9,0.8,0.9,0.1,0.2,0.3
Secured,0.9,0.6,0.8,0.2,0.1,0.2
Organized,0.8,0.9,0.7,0.2,0,0.6
Streamlined,0.6,0.8,0.5,0,0,0.9
Goal-Oriented,0.8,0.9,0.8,0.5,0.2,0.6
Transparent,0.7,0.8,1,0.6,0,0.6
Efficient,0.5,0.8,0.6,0.3,0.2,1
Strategic,0.7,1,0.8,0.3,0.2,0.5
Collaborative,0.7,0.8,0.7,0.7,0.5,0.8
Committed,0.9,0.8,0.8,0,0,0.6
Engaged,0.8,0.7,0.7,0.1,0,0.7
Supportive,0.7,0.7,0.8,0,0,0.7
Trustworthy,0.9,0.8,0.8,0.3,0.3,0.6
Caution,0.9,0.6,1,0.2,0,0.4
Strategic,0.7,1,0.8,0.3,0.2,0.5
Organized,0.8,0.9,0.7,0.2,0,0.6
Convenient,0.2,0.5,0.4,0.5,0.7,1
Timely,0.7,0.8,0.9,0.3,0,1
Flexibility,0.5,0.7,0.5,0.6,0.6,0.8
Controllable,0.8,0.7,0.9,0,0,0.7
Cautious,0.8,0.7,1,0,0,0.6
Timely,0.7,0.6,0.8,0.4,0,0.9
Analytical,0.7,1,0.8,0,0,0.5
Accurate,0.8,0.9,1,0,0,0.5
Insightful,0.7,1,0.8,0.5,0,0.5
Patient,0.9,0.8,0.9,0,0,0.6
Consistent,0.9,0.7,0.9,0,0,0.7
Risk-taker,0,0.5,0.3,0.9,1,0.7
Long-term,1,0.9,0.9,0,0,0.6
Stable,1,0.7,0.8,0,0,0.6
Secured,1,0.8,0.9,0,0,0.6
Predictable,0.9,0.8,0.8,0,0,0.6
Impulsive,0,0,0,0.9,1,0.3
Flexible,0.3,0.4,0.5,0.5,0.7,1
Convenient,0.6,0.5,0.5,0,0.5,1
Immediate,0.5,0.5,0.5,0.5,0.9,1
Responsive,0.5,0.5,0.5,0.5,0.5,1
Self-reliant,0.7,0.8,0.7,0.5,0.5,0.9
Responsible,0.8,0.7,0.8,0,0,0.6
Mid-profit,0.6,0.7,0.6,0.8,0.5,0.5
Opportunistic,0.5,0.7,0.5,0.9,0.7,0.5
Ambitious,0.5,0.8,0.6,0.9,0.9,0.5
Adventurous,0.2,0.7,0.3,1,0.8,0.5
Optimistic,0.6,0.7,0.5,0.7,0.5,0.6
Reliable,0.9,0.7,0.8,0,0,0.7
Thoughtful,0.6,0.8,0.7,0,0,0.3
Protective,0.9,0.7,0.9,0,0,0.6
Collaborative,0.7,0.7,0.7,0.3,0.3,0.7
Social,0.5,0.6,0.5,0.6,0,0.8
Generous,0.6,0.7,0.5,0.6,0.5,0.7
Personal,0.6,0.7,0.7,0,0,0.6
Appreciative,0.7,0.7,0.8,0,0,0.6
